ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_secondary_dendrities_Count,Intensity_IntegratedIntensityEdge_input_illum,Intensity_IntegratedIntensity_input_illum,Intensity_LowerQuartileIntensity_input_illum,Intensity_MADIntensity_input_illum,Intensity_MassDisplacement_input_illum,Intensity_MaxIntensityEdge_input_illum,Intensity_MaxIntensity_input_illum,Intensity_MeanIntensityEdge_input_illum,Intensity_MeanIntensity_input_illum,Intensity_MedianIntensity_input_illum,Intensity_MinIntensityEdge_input_illum,Intensity_MinIntensity_input_illum,Intensity_StdIntensityEdge_input_illum,Intensity_StdIntensity_input_illum,Intensity_UpperQuartileIntensity_input_illum,Location_CenterMassIntensity_X_input_illum,Location_CenterMassIntensity_Y_input_illum,Location_CenterMassIntensity_Z_input_illum,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_input_illum,Location_MaxIntensity_Y_input_illum,Location_MaxIntensity_Z_input_illum,Neighbors_AngleBetweenNeighbors_2,Neighbors_FirstClosestDistance_2,Neighbors_FirstClosestObjectNumber_2,Neighbors_NumberOfNeighbors_2,Neighbors_PercentTouching_2,Neighbors_SecondClosestDistance_2,Neighbors_SecondClosestObjectNumber_2,Number_Object_Number,RadialDistribution_FracAtD_input_illum_1of8,RadialDistribution_FracAtD_input_illum_2of8,RadialDistribution_FracAtD_input_illum_3of8,RadialDistribution_FracAtD_input_illum_4of8,RadialDistribution_FracAtD_input_illum_5of8,RadialDistribution_FracAtD_input_illum_6of8,RadialDistribution_FracAtD_input_illum_7of8,RadialDistribution_FracAtD_input_illum_8of8,RadialDistribution_MeanFrac_input_illum_1of8,RadialDistribution_MeanFrac_input_illum_2of8,RadialDistribution_MeanFrac_input_illum_3of8,RadialDistribution_MeanFrac_input_illum_4of8,RadialDistribution_MeanFrac_input_illum_5of8,RadialDistribution_MeanFrac_input_illum_6of8,RadialDistribution_MeanFrac_input_illum_7of8,RadialDistribution_MeanFrac_input_illum_8of8,RadialDistribution_RadialCV_input_illum_1of8,RadialDistribution_RadialCV_input_illum_2of8,RadialDistribution_RadialCV_input_illum_3of8,RadialDistribution_RadialCV_input_illum_4of8,RadialDistribution_RadialCV_input_illum_5of8,RadialDistribution_RadialCV_input_illum_6of8,RadialDistribution_RadialCV_input_illum_7of8,RadialDistribution_RadialCV_input_illum_8of8
1,14,43,63,677,466,668,459,671.8139534883721,461.74418604651163,0.9559631315947247,47,0.707542763077981,7.399277020331919,1,0.6825396825396826,1.0460654464067183,8.809104530252917,8.54400374531753,3.1622776601683795,1.5791985917067644,1.4142135623730951,5.656854249492381,6.225134569995921,61.3246708564208,22.72792206135785,0.9148936170212766,0.7499904167618083,0.053894223307327974,0.14455055818441984,0.09608798585573836,0.006441797264242056,0.01968700133141856,0.01886865092116341,0.034196096524943,0.04558733685690954,0.025090554651473092,0.01091125396315246,0.0015879206887841346,0.04636111978344804,0.020673021972762058,0.03823548331720355,0.036825048715833524,0.01003918014017663,0.009099261699726488,0.019912329011655187,0.01652684675638964,0.04527591740159878,0.033590263885846905,0.035252299210262024,0.03248511319443718,0.017511063906296174,0.011755381906598455,0.014813530740035481,0.003930266542338442,0.009062231741950024,0.010180933255043127,1,0.21116960607469082,0.6993209812790155,0.01121919578872621,0.004531929735094309,0.017811317122683874,0.015228504315018654,0.029709314927458763,0.01111418979340478,0.01626327863439571,0.01538872392848134,0.009109635837376118,0.009109635837376118,0.001475703246154987,0.005977015171026819,0.02116044843569398,671.8089897555274,461.76129172901454,0.0,671.8139534883721,461.74418604651163,0,672.0,462.0,0.0,45.275048826659635,155.04810835192131,15,0.0,0.0,179.9121059910543,20,14,0.042483088,0.0,0.19151211,0.18363516,0.12897666,0.28967923,0.16371374,0.0,1.8267727680504149,0.0,1.6470041275024383,1.3160519823431949,1.1091992586851098,0.8304137905438735,0.6399718861688262,0.0,0.0,0.0,0.058318838562992525,0.03237720123779949,0.0837056991691074,0.11672741131446304,0.07436091379080119,0.0
1,15,39,49,789,571,782,564,785.5897435897435,567.0769230769231,0.9059382957192945,40,0.36812932656086617,7.046725639945928,1,0.7959183673469388,1.1038279369855124,7.449475338044184,7.211102550927978,3.0,1.5452449517590618,1.4142135623730951,6.0,6.926332921074839,-36.54291041911088,21.071067811865476,0.975,0.8153630161477257,0.04773561539972678,0.1325600579267083,0.0275949028286146,0.03786928739949053,0.07233263767640419,0.05654470147485891,0.035975928440725814,0.03559069910938914,0.029621582207097145,0.02057519480337529,0.024606861672253524,0.007203047019345404,0.05207689355869979,0.026021827755458693,0.017241575257680528,0.02643438038641877,0.007153632064995053,0.024030866546163095,0.013980699111646063,0.0386424866925906,0.04101054374923639,0.02233082295261894,0.03771850092583901,0.01176653844454258,0.024509433514500658,0.015781060494634368,0.030254932126352416,0.031093873119215423,0.013342593511284627,1,0.22098115924745798,0.5397421307861805,0.011276417644694448,0.002159151714295149,0.1448807581501536,0.01506065484136343,0.020279239863157272,0.011630587328813578,0.01383954181503027,0.013260090257972479,0.009918364696204662,0.009918364696204662,0.0014202981774812573,0.0029528645923052625,0.016342412680387497,785.5708752730812,567.2205699380391,0.0,785.5897435897435,567.0769230769231,0,786.0,568.0,0.0,94.05166693534991,59.68578518780192,17,0.0,0.0,130.95259155236607,20,15,0.032511592,0.0,0.12467489,0.21095784,0.08868597,0.33043087,0.21273889,0.0,1.26795208454131,0.0,1.2155801430344555,1.175336537616592,1.15291757136583,0.9204859818731029,0.8296816572546952,0.0,0.0,0.0,0.144298235511127,0.16447354782630558,0.19228344163837133,0.10848705852234063,0.11533538848604041,0.0
1,16,51,126,457,604,443,595,448.15686274509807,599.2549019607843,1.8188686026553709,69,0.9582717692142532,8.058239062071396,1,0.40476190476190477,0.5497923261417001,17.504071504145593,14.7648230602334,2.8284271247461903,1.350135534624506,1.0,5.269651864139677,5.003691736030053,62.76068399128201,34.14213562373095,0.7391304347826086,0.2861868701468944,0.05508826237953945,0.06274570772177743,0.09310231539996318,0.029064892931363794,0.01399908577676188,0.005415816967939432,0.052511636340038484,0.03763233222222166,0.019475532483792947,0.011552461339115309,0.0014404559828171681,0.0203732301224859,0.0079516450857828,0.025717302678587666,0.01397110745274949,0.018068192372367127,0.007898005041651265,0.011749562610384057,0.006727424828875754,0.007028767393873488,0.008259123030389077,0.007269535629204664,0.0073931454464971425,0.003914644046092627,0.01160353206311449,0.0070296924691191425,0.00825800747781808,0.01244965974929049,0.0075551669989075325,1,0.3414969118312001,0.622156105004251,0.011074235429987311,0.001091020181775093,0.13520271015112495,0.015320057980716228,0.016861218959093094,0.011383230394373337,0.012199139313808843,0.012138552032411098,0.009811551310122013,0.009811551310122013,0.0011629136491226313,0.0015657971892501263,0.01334401499480009,448.100679363924,599.1319255381983,0.0,448.15686274509807,599.2549019607843,0,445.0,596.0,0.0,53.24939100801934,21.71587413814582,18,0.0,0.0,54.863211115205296,19,16,0.024771295,0.0,0.09395924,0.10784097,0.04218478,0.28567922,0.1984892,0.24707526,1.2633360698819018,0.0,1.1979803368449178,1.0999778956174826,1.0757119227200687,0.9713093519210808,0.9202681278640564,0.9692952495354865,0.0,0.0,0.0948718890416073,0.08980546762812484,0.018604651162790697,0.10956762816223166,0.06790154159583184,0.0
1,17,37,56,827,618,820,610,822.918918918919,613.6486486486486,0.977026752314005,41,0.7872802310403293,6.863662517577698,1,0.6607142857142857,1.0235134274794264,8.764766997981932,8.06225774829855,2.8284271247461903,1.4666095437460382,1.4142135623730951,4.919349550499537,5.404314661296452,-45.08438234729633,21.31370849898476,0.9024390243902439,0.6855905240881647,0.030443172594414345,0.17026753675156606,0.10195051091271445,0.0011514891051802366,0.016236267883295484,0.021980623328500364,0.007256981495970381,0.03490433962913368,0.009183597869897218,0.020454645337137718,0.012562702102947021,0.029223925776894054,0.020922450387737886,0.018884252643443865,0.023664256116419834,0.003786368171509299,0.008539132242937642,0.009362921420941672,0.007569786098194457,0.012117803854517651,0.005679942571410016,0.007473920242769913,0.024852612059410077,0.02900187530300633,0.007362370690909238,0.016509685658913146,0.015370787468281515,0.0009489177985016309,0.009676885855184803,1,0.20886549353599548,0.48235294595360756,0.011528191156685352,0.0012817583046853542,0.07452649083308562,0.01440451666712761,0.018249791115522385,0.011603638529777527,0.013036566106854258,0.012817578855901957,0.010269321501255035,0.010269321501255035,0.0009145549398365939,0.001975041843967663,0.013931486755609512,822.9868716582503,613.6180443506945,0.0,822.918918918919,613.6486486486486,0,824.0,613.0,0.0,62.176851152122424,59.68578518780192,15,0.0,0.0,147.70060951510064,20,17,0.030685522,0.0,0.121951215,0.14684764,0.1247667,0.3367815,0.23896745,0.0,1.1353643015026953,0.0,1.1280487384647107,1.0866725027561168,1.1540919747203564,0.9585319665762088,0.8841795593500129,0.0,0.0,0.0,0.09555730887375828,0.15227661631099876,0.10627573892093721,0.1299039673770036,0.01860003250180326,0.0
1,18,88,120,455,624,435,618,445.0681818181818,620.75,1.876745097595835,104,0.9652190762121561,10.585134856802455,1,0.7333333333333333,0.5328374115808423,21.515584740859563,19.1049731745428,3.0,1.539295891197061,1.4142135623730951,5.0,5.625086375333763,-86.57394757755101,45.55634918610404,0.8461538461538461,0.2999961667047233,0.019948039844509827,0.10338829345051592,0.08471417657016626,0.012623661614685257,0.0060896963172115,0.04563860914719955,0.04789391935008553,0.04186795781920797,0.011334875984091672,0.0031684018110306193,0.00406352318086053,0.029683774522443564,0.01993971894170392,0.028038903711868984,0.02202106923457826,0.010739363580307262,0.00282845988290918,0.0022782344942596463,0.0038588152119197346,0.011251508731163849,0.009422697079144105,0.014128283764792105,0.01366479463155705,0.011444066972425136,0.005422780015076797,0.0013882983223137827,0.004160172692102712,0.00421853689202894,0.0032084479732934316,1,0.4683756800368428,1.1835660384967923,0.011551079340279102,0.0019684135913848877,0.04008492042334384,0.01518272701650858,0.01918059028685093,0.011423797074069337,0.013449614073827186,0.013168536126613617,0.009048599749803543,0.009048599749803543,0.0013153993139165474,0.002499386805650601,0.01518272701650858,445.1076258679882,620.7428608277638,0.0,445.0681818181818,620.75,0,446.0,621.0,0.0,121.52653723392754,21.71587413814582,16,0.0,0.0,41.99179831863671,21,18,0.01201573,0.012995554,0.034835305,0.07573005,0.082704835,0.25891834,0.32094377,0.20185652,1.0573842525481971,1.14360876381395,1.0218356152375474,1.1107073724269831,1.2130042413870454,1.0356733798980704,0.973898345026476,0.8881687045097343,0.0,0.0,0.0874304814801469,0.042540003428465534,0.05664679097575403,0.19801823485118233,0.09941972101248281,0.013476350748182793
1,19,35,45,490,643,485,634,487.0,638.0,0.9541265012786456,37,0.8538646672640987,6.6755811781245455,1,0.7777777777777778,1.0480790531023698,9.17435672863878,8.246211251235321,2.8284271247461903,1.4224526986852668,1.0,4.0,4.7752075543486985,12.327949372040809,20.485281374238568,0.9459459459459459,0.655343883319569,1.0393969547266394e-17,0.13988012299426095,0.14785284234051693,6.3224048503172765e-18,4.6483244927500745e-18,0.042696156115432135,0.02035044539452529,0.06680038776164547,5.196984773633197e-19,2.0787939094532787e-18,1.0393969547266394e-18,0.06957990914928541,0.015926764063446164,0.044502612854335044,0.03344246502329161,0.0,4.6483244927500745e-18,1.0393969547266394e-18,1.0393969547266394e-18,0.0333306257801845,0.061631156270587455,0.042276731049054196,0.06349819010466391,0.02472871223124696,0.0,0.0,1.0393969547266394e-18,2.0787939094532787e-18,0.0,1,0.20914015639573336,0.5336385210976005,0.011688411002978683,0.0030365451239049435,0.07228451940947576,0.01426718570291996,0.02542153000831604,0.011618897577540742,0.015246814888502871,0.014030670747160912,0.009262226521968842,0.009262226521968842,0.0013266988191549154,0.0045623502888546465,0.01900892611593008,486.97695298866813,637.9314880520279,0.0,487.0,638.0,0,487.0,638.0,0.0,67.21218207882904,13.576496234301429,21,0.0,0.0,45.3413704692862,18,19,0.047638115,0.0,0.16450304,0.2143715,0.07045637,0.3373556,0.16567542,0.0,1.667334008961903,0.0,1.4394015818834278,1.250500430663425,1.2329864874482108,0.8433890342712397,0.7248299475759261,0.0,0.0,0.0,0.09586596723333794,0.12284563295004527,0.12012986417854452,0.15123926107404198,0.02428149611415247,0.0
1,20,74,88,684,646,673,638,677.8783783783783,641.5540540540541,0.9613601607483874,76,0.7542205867160569,9.706684619910241,1,0.8409090909090909,1.0401928859019214,11.96875164831345,11.180339887498949,4.0,1.9263229444467989,2.0,7.0,7.858935215702098,72.88773195858693,29.899494936611667,0.9736842105263158,0.7537578104832163,0.01794572308162688,0.1347800452474854,0.12290375133448617,0.006993462828655118,0.013299027984863064,0.013672922220172953,0.02224833553713973,0.027656175271627236,0.0028178141163072105,0.002231456362445904,0.009272251239462966,0.03138026263441603,0.019764743750051078,0.03207144317976627,0.020823699940190697,0.006024902752407976,0.005596032382774414,0.004314105660833289,0.006153498046865772,0.011849087122566646,0.014893136507752244,0.01584770784962788,0.0222813909516941,0.013934716938399939,0.003765873369789458,0.004435009047892095,0.004744483672906538,0.004745508675340018,0.0041398719838382295,1,0.3058060593903065,1.572838943451643,0.01223773555830121,0.008316166698932648,0.15247020603127612,0.013900969177484512,0.04293888807296753,0.01132615034778913,0.021254580316914094,0.020019836723804474,0.00862134713679552,0.00862134713679552,0.0015290445362577687,0.010168193918195548,0.029655909165740013,678.0063254362822,641.4711280985216,0.0,677.8783783783783,641.5540540540541,0,678.0,641.0,0.0,131.042276301108,52.54812000088432,24,0.0,0.0,130.95259155236607,15,20,0.025592767,0.09443518,0.08738213,0.21294966,0.1596783,0.21402653,0.19849433,0.007441112,1.893864735960929,1.7470507882535384,1.6165694110095434,1.5758275091648075,1.1816193848848322,0.9316448762136338,0.54402149717013,0.5506422761827616,0.0,0.12072643041285623,0.17974338436187312,0.22059407880372275,0.19416514185744005,0.2022878376283229,0.10412706465603185,0.0
1,21,40,60,481,655,476,643,477.375,647.575,1.3955304817109282,47,0.9442455749366118,7.136496464611085,1,0.6666666666666666,0.7165733841757397,13.31339304484507,11.180339887498949,2.23606797749979,1.2930337337934588,1.0,4.0,4.383328145766742,-6.676934525701348,26.485281374238568,0.851063829787234,0.39399458436756046,0.0705748794647411,0.08100091434881553,0.12452197991657538,0.028105228187543588,0.030532443536979936,0.040904176346253526,0.04459299635043256,0.047173896120172754,0.035371431550821335,0.026690861554105327,0.009557168890448395,0.0034767353660912605,0.03308693138044799,0.015582887086536306,0.010863875153222404,0.023555000960373756,0.019676226829730484,0.025336536028187646,0.006773913065575153,0.019552284593379356,0.014615012798656742,0.015984971756559913,0.005994169596047574,0.0054791028845215224,0.025381008206725744,0.01981802634777668,0.005890078062709591,0.014070776460172983,0.00849290611373462,1,0.29526207502931356,0.5058365790173411,0.011535820551216602,0.0010376134887337685,0.05867989974870943,0.013534752652049065,0.016601815819740295,0.011810483001172543,0.012645914475433529,0.012497139163315296,0.009979400783777237,0.009979400783777237,0.0010314826848611056,0.0016117411702424084,0.01358052995055914,477.36473605374,647.5172247281124,0.0,477.375,647.575,0,478.0,645.0,0.0,169.22336208576132,13.576496234301429,19,0.0,0.0,38.05292353567842,22,21,0.03282051,0.0,0.09079939,0.11369532,0.07312217,0.29583707,0.27288082,0.12084463,1.3128204643726231,0.0,1.2106585502624476,1.1369532346725437,0.9749623139699272,0.9102679215944723,0.9922938997095273,0.9667570590972884,0.0,0.0,0.052141481671809285,0.047404556567535526,0.00833074802574714,0.08233168806377515,0.0,0.0
1,22,76,126,454,674,440,665,445.85526315789474,668.8947368421053,1.1961454310620454,84,0.8381066291413523,9.83698151873187,1,0.6031746031746031,0.8360187432326771,13.495608794140125,13.341664064126334,3.605551275463989,1.791103433010056,1.4142135623730951,7.155417527999327,7.361941534997705,-76.79376133952678,33.798989873223334,0.9047619047619048,0.5436303674150132,0.07206678634533893,0.1636356339528337,0.09439075889141618,0.0407976176337811,0.016533269926130925,0.023388903773528133,0.013345213026316244,0.04797454749145109,0.002928001663515557,0.013848857141500004,0.014926765593377894,0.024676952448477965,0.007827134352562642,0.006670561785079352,0.022720575177559987,0.023569730717564488,0.006936634675697092,0.01626826271217727,0.010521051511672312,0.016090520674653056,0.017098169913061352,0.013635995774104792,0.01803730571698515,0.01453197954688201,0.010454005836461628,0.004190035611039532,0.002779074041199814,0.011729262595879586,0.0087350142266046,1,0.31259632483124733,1.0814526677131653,0.011581597849726677,0.002716105431318283,0.2574150569590554,0.014343480579555035,0.021622033789753914,0.011164154458258833,0.014229640364646912,0.013733119703829288,0.00964370183646679,0.00964370183646679,0.0011124609359479205,0.003301149441490219,0.01715114153921604,445.6003696784749,668.9306788189359,0.0,445.85526315789474,668.8947368421053,0,443.0,670.0,0.0,146.03873943027128,38.05292353567842,21,0.0,0.0,47.72052433161196,23,22,0.017002245,0.034075037,0.06548333,0.15872055,0.13298437,0.2709071,0.31140208,0.00942531,1.2921706512570164,1.2948513925075422,1.244183301925654,1.2062762022018414,1.1229791243871032,1.0294469952583305,0.8160882160581386,0.7163235917687295,0.0,0.024430673258800984,0.037530915812065066,0.09986332135374,0.1662797989361138,0.17876497301765112,0.08953593509920413,0.0
1,23,89,266,405,678,391,659,398.13483146067415,668.9887640449438,2.099386772267875,122,0.9533636351202162,10.645107772184812,1,0.33458646616541354,0.4763295707154257,22.47370413910825,20.591260281974,3.605551275463989,1.5664789905870307,1.4142135623730951,7.501038179511673,6.783105223502429,31.281233260256702,48.45584412271571,0.7295081967213115,0.26726018745620156,0.061072600653986765,0.06566770346867452,0.0786943833872084,0.041002543694517175,0.023915945265770965,0.01239120176641225,0.04083031967907638,0.031680286593131796,0.01749025556765,0.027812888321878136,0.008907776569520971,0.010118147836377855,0.012992523723011674,0.009091502058082351,0.019502029649601186,0.013756185725579349,0.013838501180269318,0.013358392041230982,0.0030039272759703165,0.014710924333377725,0.004597612716022894,0.010027475501385299,0.008456805614242799,0.016180521046226172,0.009988005148410401,0.006253229560030628,0.006565494494490231,0.0034441321895758484,0.0031000835904780406,1,0.47925536520779133,1.1932249991223216,0.010650797048583627,0.001899748109281063,0.18030492363364187,0.014023041352629662,0.0238498505204916,0.011410842028756937,0.013407022462048557,0.01222247676923871,0.009292744100093842,0.009292744100093842,0.0012293842974285764,0.0035985035974034694,0.014892805134877563,398.16080972639617,668.8103404052639,0.0,398.13483146067415,668.9887640449438,0,400.0,670.0,0.0,96.13935861647516,29.357691519558852,25,0.0,0.0,47.72052433161196,22,23,0.016598891,0.011522034,0.0829433,0.12850714,0.045589402,0.22693676,0.28952146,0.19838107,1.4773013405501552,1.0254610422998465,1.4763907030224743,1.2707928021748833,1.0143642015755128,1.0098685711622228,0.858913652102152,0.9292586790887923,0.0,0.0,0.17478359217766556,0.2794199673304525,0.3043211808928621,0.22449365295592,0.0925894341062504,0.0
