ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_input_illum,Intensity_IntegratedIntensity_input_illum,Intensity_LowerQuartileIntensity_input_illum,Intensity_MADIntensity_input_illum,Intensity_MassDisplacement_input_illum,Intensity_MaxIntensityEdge_input_illum,Intensity_MaxIntensity_input_illum,Intensity_MeanIntensityEdge_input_illum,Intensity_MeanIntensity_input_illum,Intensity_MedianIntensity_input_illum,Intensity_MinIntensityEdge_input_illum,Intensity_MinIntensity_input_illum,Intensity_StdIntensityEdge_input_illum,Intensity_StdIntensity_input_illum,Intensity_UpperQuartileIntensity_input_illum,Location_CenterMassIntensity_X_input_illum,Location_CenterMassIntensity_Y_input_illum,Location_CenterMassIntensity_Z_input_illum,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_input_illum,Location_MaxIntensity_Y_input_illum,Location_MaxIntensity_Z_input_illum,Neighbors_AngleBetweenNeighbors_10,Neighbors_FirstClosestDistance_10,Neighbors_FirstClosestObjectNumber_10,Neighbors_NumberOfNeighbors_10,Neighbors_PercentTouching_10,Neighbors_SecondClosestDistance_10,Neighbors_SecondClosestObjectNumber_10,Number_Object_Number,Parent_dendrites,RadialDistribution_FracAtD_input_illum_1of8,RadialDistribution_FracAtD_input_illum_2of8,RadialDistribution_FracAtD_input_illum_3of8,RadialDistribution_FracAtD_input_illum_4of8,RadialDistribution_FracAtD_input_illum_5of8,RadialDistribution_FracAtD_input_illum_6of8,RadialDistribution_FracAtD_input_illum_7of8,RadialDistribution_FracAtD_input_illum_8of8,RadialDistribution_MeanFrac_input_illum_1of8,RadialDistribution_MeanFrac_input_illum_2of8,RadialDistribution_MeanFrac_input_illum_3of8,RadialDistribution_MeanFrac_input_illum_4of8,RadialDistribution_MeanFrac_input_illum_5of8,RadialDistribution_MeanFrac_input_illum_6of8,RadialDistribution_MeanFrac_input_illum_7of8,RadialDistribution_MeanFrac_input_illum_8of8,RadialDistribution_RadialCV_input_illum_1of8,RadialDistribution_RadialCV_input_illum_2of8,RadialDistribution_RadialCV_input_illum_3of8,RadialDistribution_RadialCV_input_illum_4of8,RadialDistribution_RadialCV_input_illum_5of8,RadialDistribution_RadialCV_input_illum_6of8,RadialDistribution_RadialCV_input_illum_7of8,RadialDistribution_RadialCV_input_illum_8of8
1,23,701,2432,407,680,375,604,390.9857346647646,638.5449358059915,13.634933351505303,1861,0.9509252007832225,29.87542335866304,1,0.28824013157894735,0.0733410258943143,87.00256986927286,77.4919350642375,4.0,1.6300036663295026,1.4142135623730951,27.778047258622454,26.92040913528729,6.3899886546680325,346.56958851545033,0.3766792047286405,0.14807389153305153,0.013246028656967513,0.043950435898237716,0.043125350569044735,0.010312364314687655,0.01065969393522137,0.025343069315410856,0.019284622768619784,0.019537534630984506,0.013623088375231537,0.007388617111211367,0.00861202633656496,0.011619885175689609,0.009833452864546734,0.01165086749428128,0.01058249844397665,0.007243509841306789,0.006815442947555559,0.013542286659702875,0.004945250675041089,0.0038751547466944936,0.004483514254547742,0.004695260073421817,0.0057295661945528644,0.009367126466257291,0.002428096148304051,0.010077698296370651,0.005213519913181258,0.010657183826279781,0.0019679530045487305,1.6585183767601848,4.933913246495649,0.004978255950845778,0.0013580529484897852,5.426983663125994,0.012237736023962498,0.0238498505204916,0.005565497908591224,0.00703839264835328,0.006111238384619355,0.0032501716632395983,0.0032501716632395983,0.001588696502657842,0.0031792611606147017,0.008342870511114597,392.3560356424275,643.7960715793697,0.0,390.9857346647646,638.5449358059915,0,400.0,670.0,0.0,46.925501813279055,51.96824562535499,18,1.0,1.909307875894988,62.10407266035711,22,23,23,0.0016545821,0.0064173043,0.00621628,0.01357685,0.015831409,0.038534757,0.11107964,0.80668914,1.159862050786434,1.124632574617819,1.0894030984490686,1.0574857840935206,0.9248181437142073,1.0004764622836144,0.9613188656943797,1.0044211178859213,0.0,0.077437569620251,0.14270545207489718,0.19945290810672192,0.18459819889877205,0.1942024969709157,0.23106071286515562,0.3598139650455183
1,24,226,598,680,704,657,678,669.566371681416,692.8097345132743,2.1942612055924524,324,0.9195420591752139,16.96325844612841,1,0.3779264214046823,0.45573425691131386,31.108393315583626,32.01562118716424,5.830951894845301,2.209145825991661,2.0,14.490723672584647,12.225337410436852,39.59106639723889,78.94112549695427,0.6975308641975309,0.2807337923025822,0.060551038661449584,0.10162163358403054,0.06863281430588034,0.031160631190321312,0.017258520346849042,0.01739021528758059,0.05290670373784618,0.024948052775832712,0.006573071170587974,0.01516244556781206,0.006730605141109266,0.004977316051132268,0.028001537603445315,0.010997408054653626,0.014452798743783976,0.003965366198997458,0.011818964767282489,0.011538795488264326,0.0037844120463544416,0.013772037782249473,0.011184967745327798,0.005534303477484446,0.004861982563255588,0.010611991936416192,0.0019906895780976504,0.006872531743353002,0.015439992284102085,0.0029267770041738793,0.0027487214442314376,0.491615176666528,2.394659370649606,0.0073319601360708475,0.002960250712931156,1.3336592453806335,0.011947814375162125,0.02519264444708824,0.007023073952378971,0.010595837923228345,0.010040436871349812,0.0035858701448887587,0.0035858701448887587,0.0020805507313416856,0.004449616437311766,0.013076981995254755,670.7258337925285,693.4687448285832,0.0,669.566371681416,692.8097345132743,0,676.0,694.0,0.0,123.98506338038948,51.925275489572876,20,0.0,0.0,84.30189934749055,27,24,24,0.0028228427,0.026049167,0.035269603,0.09294353,0.13463621,0.22133507,0.286834,0.20010959,0.6379624460823514,0.735888965427871,0.885658923122613,1.1669576143225002,1.3830810500816835,1.3519385255671819,1.0128825679421416,0.6749965143737503,0.0,0.20314806030117546,0.3705689663434758,0.36072016704047155,0.34182767633579153,0.19934104939605843,0.16034363849954025,0.19924545919907455
1,25,253,1276,427,724,383,695,405.0632411067194,703.2569169960474,4.5593268448031665,577,0.9642193996080901,17.94796937867892,1,0.19827586206896552,0.21933062358532704,53.59550081757072,47.853944456021594,4.47213595499958,1.6923199106517361,1.4142135623730951,14.347299315602207,14.208464396138895,64.39647371807642,120.39696961966999,0.43847487001733104,0.14066794970218174,0.042711027035904146,0.02030686086126494,0.03261230984731588,0.03947547851184104,0.019536012503834948,0.025582215304576675,0.008500289224460918,0.013742822446547258,0.010133010348642097,0.027280187814742143,0.008754245598297735,0.02534076420684872,0.011555570854596516,0.009699808673864076,0.009634395262166704,0.009910198168193236,0.009762403011385378,0.011827466600190855,0.005391283354940963,0.006962186920142829,0.009455768483413507,0.01425660868621194,0.0050306511545399795,0.007385614352524825,0.011791195065930302,0.006553156499945638,0.001059474748874227,0.0075371284883095635,0.0037313639553181416,0.655298707773909,1.8777142295148224,0.005340657662600279,0.001632715342566371,2.87749087565755,0.01020828541368246,0.01493858266621828,0.006124286988541205,0.007421795373576373,0.006683451822027564,0.0035400930792093277,0.0035400930792093277,0.0016687333291661476,0.0025732259053285462,0.009193560807034373,402.5865378809244,701.7920296724524,0.0,405.0632411067194,703.2569169960474,0,394.0,698.0,0.0,60.15296127730902,56.56945091627769,22,0.0,0.0,66.22549884421728,23,25,25,0.0075087785,0.028970556,0.046978626,0.07000066,0.0891058,0.1296402,0.22859517,0.39920017,1.8997209551743097,1.8323876881040377,1.69794178275124,1.6100152581930078,1.4089854592457365,1.261498934374403,1.0912184406001602,0.7481306912722407,0.0,0.06664161002383286,0.09065088812100042,0.11870549541530713,0.13047302294681917,0.13087645422686953,0.14949325767510022,0.22335396061916885
1,26,308,493,191,732,174,703,182.62012987012986,718.1915584415584,1.4125750570524458,339,0.9056793897574889,19.802974013476614,1,0.6247464503042597,0.7079269841325481,31.107665105113114,29.410882339705484,6.708203932499369,2.9028964457373587,2.8284271247461903,13.655869017411145,13.188507003979298,-17.879670948521134,73.94112549695427,0.9085545722713865,0.4533615951195724,0.03692138589119982,0.1481754907913515,0.10606772569898194,0.01673591064166199,0.005752737305174026,0.02987216087621917,0.055435031398096773,0.0381315746262925,0.007184992221419306,0.012092994908713626,0.00415213424922945,0.01161804821772117,0.009024667964907848,0.010197276557722129,0.017170013609272616,0.00408663613277608,0.010866588616432738,0.012049325833667156,0.0033491852917164,0.00012468548858006064,0.0043364999130443916,0.007777074986919685,0.0072541181071171705,0.00884003348135616,0.0016566237742521748,0.007450387340665401,0.007134437896003154,0.006340932700428041,0.002613152875090874,0.6768597038462758,13.154787588864565,0.015152208507061005,0.02233920618891716,0.9917133140824435,0.01417563110589981,0.11230640113353729,0.01057593287259806,0.04271034931449534,0.034287020564079285,0.0079499501734972,0.0079499501734972,0.0014165762039430642,0.030925755785678508,0.06657510995864868,182.42103400865346,719.1630810276424,0.0,182.62012987012986,718.1915584415584,0,184.0,717.0,0.0,19.302359554919594,213.37449687500074,28,0.0,0.0,222.94389709458233,25,26,26,0.006702246,0.053383656,0.104578465,0.1320695,0.19061734,0.21646695,0.21438028,0.0818015,2.064291812479355,2.055270750075561,2.0131354555487544,1.9370193084080953,1.5867605418772281,1.2122149109840377,0.7099906020267029,0.32720598578453036,0.0,0.08501135400011037,0.15781246822767667,0.2473172745057027,0.3168117815193456,0.42264461994344343,0.48427973590162837,0.2315188313859267
1,27,725,2688,754,784,712,720,731.023448275862,750.5144827586207,12.258167358544371,1787,0.8940051592223024,30.38253889873249,1,0.2697172619047619,0.08157826294506944,76.18383078171325,71.19691004531025,4.123105625617661,1.6934730860993803,1.4142135623730951,31.447951827903896,34.13467316678607,14.69134697174456,334.1848122046001,0.40570789031897037,0.1816042988446484,0.019340113333578258,0.053315760436926235,0.04075409984635163,0.021079281027829955,0.0013599314781357098,0.009465022547661253,0.028344525045114963,0.01560905814960661,0.014110675069717603,0.0010848829669996083,0.001680241950614235,0.022374710768329434,0.012335730033643482,0.009839082174131923,0.010725622660365511,0.012273572930436826,0.0019993037837374825,0.006144726039524294,0.0014742365184163622,0.01704328059304148,0.0029322209314967965,0.012952427164176146,0.0032387285412928154,0.008757753840797109,0.015384283323032016,0.005905097892032399,0.0061985163830338,0.0034565029943041344,0.0013620144895618604,1.6919814141001552,5.355535286478698,0.005329213570803404,0.0017166400793939829,2.225834914694457,0.011474784463644028,0.018524453043937683,0.00583441866931088,0.007386945222729239,0.006912337150424719,0.003128099488094449,0.003128099488094449,0.001731567091732194,0.0027322889701971633,0.008911268785595894,731.0237196492413,752.7403176567723,0.0,731.023448275862,750.5144827586207,0,731.0,770.0,0.0,20.80296603430535,84.30189934749055,24,0.0,0.0,121.23024984669208,20,27,27,0.0025614414,0.010074813,0.0099409,0.022779448,0.036222033,0.069526464,0.13776225,0.71113265,1.8570450076364717,1.8260598415508134,1.8017881084232799,1.83501108549532,1.7507316047946424,1.6260221360191138,1.2971120801838936,0.8828273425771763,0.0,0.042015405190288076,0.10555650111803384,0.12297349220742892,0.15574788264766873,0.1655111564383317,0.12641401782452694,0.20203088913321507
1,28,1045,4284,416,800,348,737,388.27272727272725,775.0746411483253,14.689419833345434,2961,0.6639311988050366,36.47650372840365,1,0.24393090569561157,0.06807620800175983,76.92561719419558,69.92138442565336,4.123105625617661,1.774433697092861,1.4142135623730951,59.65882850542574,57.52448910289237,-62.90909187535247,439.2031021678297,0.35292131036811886,0.23194283834329926,0.034693973033381814,0.03524919847414756,0.02908179875067854,0.02937319939576989,0.0321684772388218,0.01320310519568733,0.015910929079536562,0.004467579093066578,0.016290888663770795,0.009166989593768752,0.0077168610725582825,0.014364508153913326,0.017654663461737812,0.008421836069100082,0.014102135222923216,0.007274337242146214,0.011412267784294305,0.011639183602900607,0.0034627777936408234,0.00234951444609815,0.01167815694603343,0.013071684241018976,0.006698956493790383,0.0022826493846887733,0.018138279089674175,0.01479197516663447,0.012478665271096836,0.004931614638852591,0.009238504674085173,2.042130197864026,7.0108340182341635,0.005111772567033768,0.0013199052773416042,3.447850697868374,0.009811551310122013,0.01518272701650858,0.00543119733474475,0.0067089320748652285,0.006286717019975185,0.002822919050231576,0.002822919050231576,0.00135561567367611,0.0021752736511369036,0.007888914085924625,385.1267959185314,776.4855948504286,0.0,388.27272727272725,775.0746411483253,0,374.0,788.0,0.0,14.99988842176914,73.75436839416476,25,0.0,0.0,124.49273529630177,22,28,28,0.0013929621,0.0055000237,0.0054847877,0.015165873,0.027160581,0.053938102,0.11727216,0.7740855,1.4556453545807277,1.4368811965686366,1.4329007989726128,1.440757922828167,1.4938319660723027,1.4832978043705136,1.408613887240828,0.9181831670538112,0.0,0.025825500390608016,0.030470419922480427,0.05327352177795597,0.09158028938703867,0.14460042682515906,0.18915066123724905,0.10204656094937051
1,29,76,120,549,829,539,817,543.3157894736842,823.2631578947369,1.1790329808524094,84,0.7628452076503522,9.83698151873187,1,0.6333333333333333,0.8481526948271003,12.657481083821336,12.083045973594572,3.605551275463989,1.7804631397612525,1.4142135623730951,7.7781745930520225,8.1840887303827,33.12799515656691,33.55634918610404,0.9047619047619048,0.6627822287662491,0.08612630780421272,0.12471965516077227,0.10573842536402084,0.03583025239479324,0.017739908692341266,0.0014466511200615113,0.027352065105413336,0.03911664077301408,0.011978551706132004,0.02797001863613291,0.021401170388955924,0.008881933930031845,0.013227606144736961,0.014733449607847018,0.017802604884999147,0.013359639112332317,0.007474308646956221,0.016808174723434717,0.008072981213342502,0.01818260732819308,0.007813502343323986,0.01783580411098149,0.015948575063083552,0.012103088496614097,0.008046329185210945,0.009487731553708556,0.006064382768861151,0.008707000091864045,0.006253952240736401,0.199557492043823,0.7870603590272367,0.007248035632073879,0.002716105431318283,0.41569486927602495,0.009231708012521267,0.019592585042119026,0.006881292829097345,0.010356057355621536,0.009597924537956715,0.004623483866453171,0.004623483866453171,0.0010901944345773956,0.003908994234456211,0.012878614477813244,543.4580263637805,823.6537611351716,0.0,543.3157894736842,823.2631578947369,0,543.0,825.0,0.0,103.67900659753207,156.40736622669314,30,0.0,0.0,162.35912134176195,28,29,29,0.023012795,0.0687088,0.086525775,0.16293135,0.1688445,0.21834043,0.25281116,0.018825127,1.7489723861217206,1.7406229277451737,1.643989734351628,1.3758647574318754,1.2832182466983775,0.9218818015522419,0.6862017299447737,0.4769032125671678,0.0,0.05400973743325925,0.09551224226646994,0.11337032441914838,0.094906743182106,0.09905041628847912,0.07270774731640518,0.0
1,30,335,1012,544,1004,522,958,533.5313432835821,979.3641791044776,5.846459601955126,675,0.9611411224521877,20.65272978291924,1,0.3310276679841897,0.17104368593697084,55.48856857482479,47.53945729601885,4.0,1.6614897932657433,1.4142135623730951,16.954376044314433,15.318035461566057,17.351082701327122,156.88225099390854,0.4962962962962963,0.18873241039215907,0.023930483553567073,0.04430363083415145,0.05680441108470228,0.012757756125470079,0.024649106649522207,0.021513448014130004,0.027089983050262945,0.021676218684048423,0.004196226933643047,0.01752811019879998,0.01587249628694236,0.025975268385480033,0.018429374642285706,0.010422238077508566,0.009691321849369584,0.013266909178304817,0.0016116078856630862,0.014687962583692767,0.007781713880938827,0.009931941913768647,0.00829464810305046,0.01844005822665107,0.003239400804669753,0.00856827710554669,0.008586440560763188,0.0018763052487918502,0.007695254831111834,0.007862382785328538,0.0033448324745939378,0.7585717644542456,2.3430380993522704,0.0038910505827516317,0.0012970168609172106,6.882117472393135,0.013427939265966415,0.021072709932923317,0.005418369746101754,0.006994143580156031,0.004837109940126538,0.0030212863348424435,0.0030212863348424435,0.002620618063972305,0.004217461495189161,0.00965896062552929,535.6997479656718,985.8957609985144,0.0,533.5313432835821,979.3641791044776,0,538.0,998.0,0.0,39.00107764572538,156.40736622669314,29,0.0,0.0,250.66767012067422,28,30,30,0.0047345837,0.018931823,0.019022997,0.034750674,0.068706825,0.20191993,0.23682034,0.41511282,1.5860855276695205,1.5855401637963655,1.5931760380044282,1.6630679661673982,1.7705220385239575,1.8281939444509676,1.3678416198697565,0.659065382881752,0.0,0.0682563844936206,0.10286587911704537,0.17003608244288318,0.21985933624297763,0.310430246527202,0.3138623961405117,0.4077927622885771
1,31,577,1330,1021,1080,951,1061,987.7954939341421,1069.6464471403813,6.703932208754431,1158,0.9765537938443403,27.104597715372734,1,0.4338345864661654,0.14916618618161664,79.75279833201806,70.83078426785913,4.123105625617661,1.8842590197858413,2.0,18.0,17.168665499903568,88.87727587024635,220.47413408594534,0.49827288428324695,0.14643396797133523,0.009860490152292603,0.047980446860037794,0.04484178698539045,0.004991172160987431,0.0032411445656745914,0.018576430329840802,0.031421327699415004,0.022033508898914447,0.004852048693061409,0.0051270816876750214,0.0019140008527146202,0.01247190105270256,0.016944949590262014,0.019043946433340984,0.012853533328992387,0.002463671075484583,0.0037099068010116856,0.0024779869955374794,0.0035923326142439575,0.006355512345999524,0.012726445399151111,0.010911839060440414,0.012098856827406234,0.008390370279984712,0.004721189814803666,0.007911207604266788,0.0034064709906186045,0.0010415988639411859,0.004142102486490035,1.2943160375580192,4.987670779461041,0.007129778154194355,0.0014648661017417908,0.34657366355828584,0.010040436871349812,0.015457388944923878,0.007072765232557482,0.008644143465270435,0.008346685208380222,0.0030060273129493,0.0030060273129493,0.0013467411253606735,0.002192184290695259,0.010082398541271687,988.0776707284903,1069.4452269599728,0.0,987.7954939341421,1069.6464471403813,0,980.0,1070.0,0.0,39.93929200258418,409.60602305349363,27,0.0,0.0,463.1487951921946,30,31,31,0.0020497649,0.00838568,0.008312255,0.02231796,0.02579338,0.059308562,0.19451044,0.679322,1.1827143190892762,1.2096342945005358,1.1990428045391652,1.170678492296812,1.1448292140490621,1.0370012279035425,1.0111038447231848,0.979921991229057,0.0,0.004770747330620318,0.028133789881086158,0.019529275273644783,0.037250325451358236,0.055199091036905956,0.12930519884271194,0.13751226295502667
